,sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles,Dupes
143,143,Example 480 (Stereo) (Page No: 628),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@@H](c1nncn1C)F)F,True
145,145,Example 478b (Stereo) (Page No: 628),WO2019148005,1001-3000,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@H](c1nncn1C)F)F,True
150,150,Example 481b (Stereo) (Page No: 632),WO2019148005,1001-3000,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@H](c1nncn1C)F)F,True
152,152,Example 482 (Stereo) (Page No: 632),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@@H](c1nncn1C)F)F,True
197,197,Example 449 (Stereo) (Page No: 598),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F,True
271,271,Example 639b (Stereo) (Page No: 736),WO2019148005,<100,C[C@@H]1CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C[C@@H]1F,True
275,275,Example 626b (Stereo) (Page No: 730),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]([C@H](C3)F)F)cc2C(F)(F)F)C1=O,True
357,357,Example 576 (Stereo) (Page No: 701),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1,True
359,359,Example 575 (Stereo) (Page No: 701),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1,True
376,376,Example 486b (Stereo) (Page No: 638),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]4C[C@H]34)cc2C(F)(F)F)C1=O,True
398,398,Example 672b (Stereo) (Page No: 755),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3[C@H]4CC[C@@H]3CC(C4)F)cc2C(F)(F)F)C1=O)F,True
455,455,Example 268 (+/-) (Page No: 478),WO2019148005,301-1000,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O,True
456,456,Example 367b (S) (Page No: 547),WO2019148005,1001-3000,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O,True
463,463,Example 272 (+/-) (Page No: 481),WO2019148005,301-1000,Cc1c(C[C@@H](C)c2cccc(c2)N2Cc3c(cccc3C(F)(F)F)C2=O)nc[nH]1,True
504,504,Example 183b (S) (Page No: 433),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(F)(F)F)n1)=O,True
509,509,Example 322 (S) (Page No: 522),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)C1CC1)=O,True
586,586,Example 235 (Stereo) (Page No: 462),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@@H]([C@H](C1)F)O)=O)=O,True
817,817,Example 161 (Stereo) (Page No: 421),WO2019148005,3001-10000,C[C@H](c1cccc(c1)NC(c1cc(ccn1)C(N1CC[C@@H](C1)O)=O)=O)Sc1nncn1C,True
